"id_str";"tweet";"user_name";"place_name";"time";"reply_to";"place_id";"len";"coordinates"
"124458176153255936";"Ok, when's it summer again please.";"dancaseuk";"Havering, London";"2011-10-13 14:15:16+02";"";1;34;"0101000020E6100000D6A0583C2FF4C93F2078BE9729CB4940"
"124469768630714368";"Aurally enveloped in a sea of saw waves, obnoxiously oscillating through a fierce filter frenzy, monstrously modulated at a freakish freq.";"SonnyWilliamson";"Havering, London";"2011-10-13 15:01:20+02";"";1;138;"0101000020E6100000EC2ACD7BD614C63FF28A54D6BECA4940"
"124472529086709761";"#Hacked";"WilliamMSelley";"Havering, London";"2011-10-13 15:12:18+02";"";1;7;"0101000020E6100000779927F82231CC3F19EA6EA65BCB4940"
"124473882978684928";"Uploading straight from the camera, just a quicker way for me to post pointless pictures! :p &lt;3 iOS 5 http://t.co/JoVgNDLM";"robbiem101";"Havering, London";"2011-10-13 15:17:41+02";"";1;125;"0101000020E610000012A3E716BA12C93F5A83F755B9C84940"
"124476961568456705";"@HannahHindmarsh it's a classic!";"davidskillequal";"Havering, London";"2011-10-13 15:29:54+02";"124473155606679552";1;32;"0101000020E610000084345B602CDFC93F10246BE425CB4940"
"124477595344568320";"""When preparing to travel, lay out all your clothes and all your money.  Then take half the clothes and twice the money."" -Susan Heller”";"davidskillequal";"Havering, London";"2011-10-13 15:32:26+02";"";1;136;"0101000020E610000084345B602CDFC93F10246BE425CB4940"
"124479329668300800";"@Team_Barrowman got my food of love book :) can't wait to start mixing up some recipes while listening to your tonight's the night cd :D";"blueunderdog";"Havering, London";"2011-10-13 15:39:19+02";"124049011836583936";1;136;"0101000020E61000001595893286FFC43F4012F6ED24C84940"
"124479639035981824";"@Pie_Boy well camera still don't do what its ment to 😒";"flooflan";"Havering, London";"2011-10-13 15:40:33+02";"124479400199725057";1;55;"0101000020E61000008AE2FA1CC4F3C93FF37065FDA4C64940"
"124482344273969152";"@MissKatiePrice wats wrong with Sarah";"ashathome";"Havering, London";"2011-10-13 15:51:18+02";"124479111983935490";1;37;"0101000020E610000073FB404D8814CC3FD9E4959034CC4940"
"124482552881889280";"@LlandyllGove the new iPhone operating system x";"mattcrandon";"Havering, London";"2011-10-13 15:52:08+02";"124479957769519104";1;47;"0101000020E610000028B6A3B40E39D13F8FD18DF244C74940"
"124483610370777090";"@LlandyllGove I'll show you when I get to work. Drag down from the time at the top of the screen for one x";"mattcrandon";"Havering, London";"2011-10-13 15:56:20+02";"124483142378729472";1;106;"0101000020E610000014795058FB1ED13FF68DF9CA4DC74940"
"124484198621917186";"@barneyashworth 1 imessage";"mattcrandon";"Havering, London";"2011-10-13 15:58:40+02";"124483902051057665";1;26;"0101000020E6100000387361074230D13F21EDB92B3FC74940"
"124484260626309120";"roots hall on Saturday yeeeesssss";"TomJamesTaylor";"Havering, London";"2011-10-13 15:58:55+02";"";1;33;"0101000020E61000000A68015E8FD7CC3F334F8D1B27CB4940"
"124484638386294785";"Wow after a marathon work sesh last night there was a marathon sleep !woke up starving !!";"Psychik_Alex";"Havering, London";"2011-10-13 16:00:25+02";"";1;89;"0101000020E6100000B640CC6FE2F5CA3FF1A67413A9C74940"
"124484871497330691";"Going through all my ukg and I've got b-15 project- feels so good (EZ more to the floor remix) on repeat such a Tune!!";"DJTeaghenFraser";"Havering, London";"2011-10-13 16:01:20+02";"";1;118;"0101000020E6100000B648FB9B2709D13F67EFADC493C84940"
"124485663344164865";"Have had exciting news which was needed after the weekend from hell #primetimetv";"Psychik_Alex";"Havering, London";"2011-10-13 16:04:29+02";"";1;80;"0101000020E6100000EDF7821E83F8C93F3EA91F69AAC74940"
"124486446143897601";"Omg RIHANNNNNNNNANANANANAN. &lt;3";"bowieandhiscat";"Havering, London";"2011-10-13 16:07:36+02";"";1;33;"0101000020E61000002B6D507FE6C1CB3F2DD6EC5857C84940"
"124488588732805121";"I HATE SCHOOL AND EVERYONE IN IT AND I AM SO FUCKING GLAD I DON'T HAVE TO GO BACK UNTIL TUESDAY. That is all.";"save0urselves";"Havering, London";"2011-10-13 16:16:07+02";"";1;109;"0101000020E6100000FAB70D9BAFAFC63FA70EEA0968CA4940"
"124488845868793856";"@katietbo ah cool :')";"save0urselves";"Havering, London";"2011-10-13 16:17:08+02";"124392637074644992";1;21;"0101000020E610000041FA8106F6F3C53FEFC4515ED0CA4940"
"124488975212756993";"I hate being paranoid.";"save0urselves";"Havering, London";"2011-10-13 16:17:39+02";"";1;22;"0101000020E610000041FA8106F6F3C53FEFC4515ED0CA4940"
"124489167693553665";"I need ice cream.";"save0urselves";"Havering, London";"2011-10-13 16:18:25+02";"";1;17;"0101000020E61000005E914E136C12C63F562EAFB728CB4940"
"124489877143302144";"@katietbo yeah, in London :-)";"save0urselves";"Havering, London";"2011-10-13 16:21:14+02";"124489366230937601";1;29;"0101000020E6100000E9DBDD5E2DD2C53F14330C699ECB4940"
"124490471920779266";"@katietbo haha you too :-)";"save0urselves";"Havering, London";"2011-10-13 16:23:36+02";"124490301451681792";1;26;"0101000020E610000017B7D100DE02C53F5FD9603C5ECC4940"
"124491364099555329";"@EdMehen presunctly old bean.";"SonnyWilliamson";"Havering, London";"2011-10-13 16:27:08+02";"124491147581210624";1;29;"0101000020E61000002762193457FAC53F5E3D59F730CB4940"
"124493774180188161";": there&#39;s a Zumba Flash Mob in Liverpool St Station tomorrow at 6pm...I&#39;m NOT missing this!!";"Lockets86";"Havering, London";"2011-10-13 16:36:43+02";"";1;100;"0101000020E6100000DB7504AA5E82CC3F5B19BFB61FCD4940"
"124494822902988800";"On the way to the O2 with @allyBtheG. Xoxoxoxoxooxoxooxoxoxoxoxo";"bowieandhiscat";"Havering, London";"2011-10-13 16:40:53+02";"";1;64;"0101000020E610000002976CE11EF0CD3F73631F09A0C74940"
"124496419578068992";"@OfficialBanker I have a question for noel... How come his beard is now looking darker??? Has he dyed it";"Dawnflanagan66";"Havering, London";"2011-10-13 16:47:14+02";"124465349193252865";1;104;"0101000020E6100000C364CB6E3DF5CE3FE58DFE5D40CD4940"
"124496792766255104";"You are at least two decades too old for that asymmetrical hairdo buddy. Sort it out. Being French is not an excuse.";"SonnyWilliamson";"Havering, London";"2011-10-13 16:48:43+02";"";1;116;"0101000020E6100000D827E38C1F32C63FB8E11C1ABBCA4940"
"124496995674099712";"Missed BBM too much";"shenelstylinson";"Havering, London";"2011-10-13 16:49:31+02";"";1;19;"0101000020E61000003E0775157B7DC53F859B08F29EC94940"
"124498487722250240";"@jradogs , crap news from ESPN, whats the best site to watch the NHL ?";"daveday777";"Havering, London";"2011-10-13 16:55:27+02";"";1;70;"0101000020E6100000FC091D2A7C6CC93F9D158BBE06CB4940"
"124499697367916545";"@SarahJFrenchie @patrickgeorge85 lovely lunch.";"mattcrandon";"Havering, London";"2011-10-13 17:00:15+02";"124490693057064960";1;46;"0101000020E6100000AAC276629CE0CE3F4358AE3315CD4940"
"124501051062763522";"Visiting Tesco to see food platters (@ The Platter Company) http://t.co/9b1rN8Vg";"mikecj";"Havering, London";"2011-10-13 17:05:38+02";"";1;80;"0101000020E6100000B471C45A7C0ACC3F9D2E8B89CDCB4940"
"124505938639069184";"#specialoffer Essexhydro-Garden: 10% discount - 10% discount to all customers that mention scoot and spend over... http://t.co/i7moJ5BZ";"ScootSpoffers";"Havering, London";"2011-10-13 17:25:03+02";"";1;135;"0101000020E6100000A54C6A6803B0CB3FBF0E9C33A2CC4940"
"124506255434858496";"@OrlaKeefe thanks!! Definitely!";"SBRAWN";"Havering, London";"2011-10-13 17:26:19+02";"124499941891637248";1;31;"0101000020E6100000C33D22E860E4C93F5D6DA4F049C84940"
"124506351178223616";"@jruddock1 oh are you now, sorry who's princess in this relationship? X";"SBRAWN";"Havering, London";"2011-10-13 17:26:41+02";"124503281211944962";1;71;"0101000020E61000000020C4215DE4C93F685409E44CC84940"
"124507883625914368";"How can you go to Southend High and live in Upton Park";"AcerAnderson";"Havering, London";"2011-10-13 17:32:47+02";"";1;54;"0101000020E610000018F200FD5B15D03FA0281AB58CC74940"
"124508458295889921";"I love it how I have no texts until 30th of this month";"AcerAnderson";"Havering, London";"2011-10-13 17:35:04+02";"";1;54;"0101000020E610000018F200FD5B15D03FA0281AB58CC74940"
"124509357684699137";"@jruddock1 please you spend your life working you have more money than me! X";"SBRAWN";"Havering, London";"2011-10-13 17:38:38+02";"124507095579107330";1;76;"0101000020E61000002BAE017C7D4EC93F713027AAAFC84940"
"124510239696490496";"@Julia_B Reduces your chances to zero, you got to be in it to win it.";"daveday777";"Havering, London";"2011-10-13 17:42:09+02";"124498169873711105";1;69;"0101000020E6100000BDF6F511326FC93F67AB9A3907CB4940"
"124512428129124352";"@Cass_Denton I know, I wish it wasn't so obvious to take a pic. I couldn't stop myself from giggling.";"SonnyWilliamson";"Havering, London";"2011-10-13 17:50:50+02";"124508927231655936";1;101;"0101000020E6100000AF25E4839ECDC53F9ECC600810CB4940"
"124514599864254464";"Any one got iOS 5?";"harrisondew";"Havering, London";"2011-10-13 17:59:28+02";"";1;18;"0101000020E6100000C3F09569C99DC93F68A174547BC94940"
"124516208220446720";"Buff women are preggerz #uptheduff";"BillyPurcell";"Havering, London";"2011-10-13 18:05:52+02";"";1;34;"0101000020E6100000A6F512BE52F1C63F9295DBCDBEC94940"
"124526327553458177";"Just had a lovely pampered birthday. Feel like a brand new girl. Thanks for all the birthday wishes xx";"tracytoadstool";"Havering, London";"2011-10-13 18:46:04+02";"";1;102;"0101000020E610000009C2365E914AC63F4ECBB4A272C84940"
"124517740714274816";"@dealornodeal wow the banker has a heart giving her a trip as she ended up with the 1p. There is hope for him yet";"Dawnflanagan66";"Havering, London";"2011-10-13 18:11:57+02";"124497502551539713";1;113;"0101000020E61000007A63317FBFF7CE3FAF9ECD8941CD4940"
"124520815541764096";"26B2BC1C";"shenelstylinson";"Havering, London";"2011-10-13 18:24:10+02";"";1;8;"0101000020E6100000C37620800E52C53FA31374411EC84940"
"124523007426306048";"My best friend (who lives in NY) just sent me this ad from the subway! #Catholic @catholictshirts @RCYouthWorker http://t.co/f6fASnUu";"pickledseal";"Havering, London";"2011-10-13 18:32:53+02";"";1;133;"0101000020E6100000DBFEF04E9976CE3F84526AE594C74940"
"124523483748237313";"Weighting around....geddit? Geddit? Geddit? Ok maybe comedy isn't my mainstay. (@ LDG Fitness Centre) http://t.co/GKL9jCu3";"Captaincareless";"Havering, London";"2011-10-13 18:34:46+02";"";1;122;"0101000020E61000003CDA38622D3EC73F787DE6AC4FC94940"
"124524196800901120";"@jruddock1 I have no idea but you better get finding it!";"SBRAWN";"Havering, London";"2011-10-13 18:37:36+02";"124519054567411712";1;56;"0101000020E6100000B7728278554EC93F1DFA38E4B0C84940"
"124527218192953344";"@chriskidster I think yahoo need more than a merger to bring a smile to the boards faces";"Captaincareless";"Havering, London";"2011-10-13 18:49:37+02";"124510293979168768";1;88;"0101000020E6100000026C9B3D2B44C73FE84DE2FF50C94940"
"124528095041560576";"@MorningJon Suit Up!!";"Captaincareless";"Havering, London";"2011-10-13 18:53:06+02";"124501208500146176";1;21;"0101000020E6100000B341E4FC6645C73F48842D1351C94940"
"124528609389056001";"Testing tweeting from the camera roll. http://t.co/IgmktW8s";"Dazreil";"Havering, London";"2011-10-13 18:55:09+02";"";1;59;"0101000020E6100000D55DD905836BCC3FDC9E20B1DDC74940"
"124528694978019328";"@FourFourTom stick to football Tom, all the Die Hard flicks are great, even 4.0.";"SirStoneyOfBow";"Havering, London";"2011-10-13 18:55:29+02";"124527032221708288";1;80;"0101000020E6100000E94CF3F17D2FCD3FD53DF4D5BCCC4940"
"124529024293810176";"“@essexmat: Fuck #rooney and fuck #england ... Couldn't care less.” &gt;&gt;&gt; damn right. West Ham or nothing.";"SirStoneyOfBow";"Havering, London";"2011-10-13 18:56:47+02";"";1;113;"0101000020E6100000E94CF3F17D2FCD3FD53DF4D5BCCC4940"
"124530792029364224";"It&#39;s been a long day.";"itsEMmagical";"Havering, London";"2011-10-13 19:03:49+02";"";1;25;"0101000020E610000023D2DB44D293D43F369D537F73D04940"
"124531164437413888";"Loving life with £1.63 to buy a crappy outfit for tomorrow's party and for beer. Hmmm. Hurry up ema tomorrow!";"camogray";"Havering, London";"2011-10-13 19:05:17+02";"";1;109;"0101000020E610000041D5C7C71782CD3F04015382D5C64940"
"124531979004821504";"@Prabs84 sorry do u mean you don't want to leave the restaurant ?";"Vrijraj";"Havering, London";"2011-10-13 19:08:32+02";"124531096661667841";1;65;"0101000020E6100000A58AFBF276C2CB3FF63AF3BC65C94940"
"124533685776166912";"@yan_xo what's the worth in that?";"Sportycorty16v";"Havering, London";"2011-10-13 19:15:19+02";"124494997545422848";1;33;"0101000020E6100000516BBB8585C5C93F59CC210CB0C24940"
"124533780043141120";"http://t.co/HY7rvIvD";"OrlandoWells";"Havering, London";"2011-10-13 19:15:41+02";"";1;20;"0101000020E610000028B430346CCECA3FC22C9BD6F9C64940"
"124534784989990912";"@yan_xo you can gave them?";"Sportycorty16v";"Havering, London";"2011-10-13 19:19:41+02";"124531966442864640";1;26;"0101000020E61000007855F35EADC1C93FDC423E85AFC24940"
"124535036132331520";"@ZaynMaliksChick hey";"muhammadyaver";"Havering, London";"2011-10-13 19:20:41+02";"123894792487833602";1;20;"0101000020E610000045F21979EE77C83FFA7C7303AEC84940"
"124536574997311488";"@___leigh__ I hate to ask --//";"thefreetrail";"Havering, London";"2011-10-13 19:26:47+02";"124525553544998913";1;30;"0101000020E6100000CBABE762DB3BC63F836F7930D2CA4940"
"124536972688621568";"Most defo wine o&#39;clock :0) 
@MsLKRyan";"picklepiglet";"Havering, London";"2011-10-13 19:28:22+02";"124536385834205184";1;41;"0101000020E6100000B81C75956AF6CB3FB8D0AEA574CE4940"
"124537044482527232";"Don't forget celebrity juice tonight ( bang tidy)";"ashathome";"Havering, London";"2011-10-13 19:28:39+02";"";1;49;"0101000020E61000003CA8BC044414CC3F43E3AA2E37CC4940"
"124537433227407360";"This is part two of the awesome films http://t.co/uPsxFIXL";"kingofhalo1";"Havering, London";"2011-10-13 19:30:12+02";"";1;58;"0101000020E61000004E886F17505EC73F89F2C310D2CE4940"
"124537749683445760";"@The_LoveGoddess 
The stars then rain down a rhapsody of light for my heart to delight in
& my soul to take flight on";"thefreetrail";"Havering, London";"2011-10-13 19:31:27+02";"124526507715608576";1;117;"0101000020E6100000A8616CDFAB6FC63F6D09AF134DCB4940"
"124538153905303552";"Flying around shitting on cars. Rock on, birds. Living the dream!";"tenpoundmouse";"Havering, London";"2011-10-13 19:33:04+02";"";1;65;"0101000020E61000008F12810B2E2DCF3F2828663960C74940"
"124538227456614402";"@feltsensejunkie I'm not surprised )))";"thefreetrail";"Havering, London";"2011-10-13 19:33:21+02";"124528317272559616";1;38;"0101000020E6100000A8616CDFAB6FC63F6D09AF134DCB4940"
"124539966998052865";"@aladreth I gambled my last 1000on a horse with no name
I threw my last coin inthe Trivi fountain 
I now busk-
My guitar case collects rain";"thefreetrail";"Havering, London";"2011-10-13 19:40:16+02";"124529277495541761";1;139;"0101000020E6100000A8616CDFAB6FC63F6D09AF134DCB4940"
"124541036860145664";"@aladreth Busking on the move - cool ))";"thefreetrail";"Havering, London";"2011-10-13 19:44:31+02";"124540671553044481";1;39;"0101000020E6100000A8616CDFAB6FC63F6D09AF134DCB4940"
"124541122604302336";"I'm going to start a business in India, but have technical support staff in Liverpool. See how those fuckers like it.";"tenpoundmouse";"Havering, London";"2011-10-13 19:44:52+02";"";1;117;"0101000020E61000002E2757676B33CF3F60DAA2925BC74940"
